SN,smiles,bandgap_crystal
103,[*]NC(C)C(=O)NCC(=O)NCC(=O)NCC([*])=O,5.4756
104,[*]C1C=CC([*])CC1,5.4843
105,[*]C=CC(C)C([*])C(=O)OCCCC,5.4974
106,[*]CCOCCOCCOC(=O)CCCCCC(=O)O[*],5.5157
107,[*]C=CC1CC([*])C(C#N)(CC)C1,5.5315
108,[*]OC(CCCCCCC=C)CC([*])=O,5.5852
109,[*]CC([*])N1CCCC1=O,5.5902
110,[*]CNON[*],5.6289
111,[*]C(=O)OC(=O)O[*],5.645
112,[*]C=CC1CC([*])C2CC=CC12,5.6741
113,[*]CC([*])C(=O)NCCO,5.7124
114,[*]CC([*])C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5.7185
115,[*]C=CC(C[*])(C(F)(F)F)C(F)(F)F,5.7329
116,[*]C=CC(C[*])CCC,5.7469
117,[*]CCOCCOC(=O)CCCCS(=O)(=O)CCCCC(=O)O[*],5.7504
118,[*]CC(F)(F)C(F)(F)C(F)(F)COC(=O)CCCC(=O)O[*],5.7563
119,[*]C=CC1CC([*])C2C3CCC(C3)C12,5.7656
120,[*]CC([*])(F)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5.7714
121,[*]CC([*])(C#N)C(=O)OC(C)C,5.8301
122,[*]OC(CC(C)C)C([*])=O,5.8529
123,[*]CC([*])(Cl)C#N,5.8652
124,[*]C=CC1CC([*])C(C#N)(CCC)C1,5.8705
125,[*]NC(C)C(=O)NC(C([*])=O)C(C)C,5.8867
126,[*]C(C#N)C(C#N)(C#N)[*],5.8992
127,[*]CC(C#N)(C#N)C(C#N)C(C#N)(C#N)C(C#N)C(C#N)(C#N)C(C#N)C(C#N)(C#N)[*],5.9056
128,[*]CC([*])OC(C)=O,5.9373
129,[*]CC([*])(C)C(=O)OCCOCC,5.9514
130,[*]CC([*])(C)C(=O)OC1(C)CCOC(=O)C1,5.9976
131,[*]C1C(=O)OC(=O)C1[*],6.0081
132,[*]CC([*])OC(=O)C(F)(F)C(F)(F)C(F)(F)F,6.0228
133,[*]CC([*])C(=O)OCC(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,6.0236
134,[*]CCCCCCCCCCOC(=O)CCCCCCCCCCCCCCCCC(=O)O[*],6.0542
135,[*]OC1CCC(OC(=O)OCCCCCOC([*])=O)CC1,6.0614
136,[*]CC([*])C(=O)O,6.1071
137,[*]CC([*])(C)C(=O)OC(F)(C(F)(F)F)C(F)(F)F,6.1125
138,[*]OC(CC([*])=O)C1CO1,6.1493
139,[*]OC(=O)OCCCCCCCCCCOC(=O)OC1COC2C([*])COC12,6.1689
140,[*]CC([*])C(=O)OCF,6.1736
141,[*]CCOCCOCCOC(=O)CCCCCCC(=O)O[*],6.184
142,[*]CC(CCl)(CCl)C(=O)O[*],6.1969
143,[*]CC([*])(C#N)C(=O)OCC,6.1989
144,[*]CC([*])(C)C(=O)OCC,6.2424
145,[*]CC(C#N)(C#N)C(C#N)C(C#N)(C#N)[*],6.2447
146,[*]CC([*])(C)C(=O)OCCC#N,6.2508
147,[*]C(=O)OC1CCC(OC(=O)N2CCN([*])CC2)CC1,6.2573
148,[*]CC([*])OC(=O)C(F)(F)F,6.257999999999999
149,[*]CC(C#N)(C#N)C(C#N)C(C#N)(C#N)C(C#N)C(C#N)(C#N)[*],6.2667
150,[*]CC(F)(F)C(F)(F)C(F)(F)COC(=O)CCCCC(=O)O[*],6.2672
151,[*]OC(C)CCOC(=O)CCCCS(=O)(=O)CCCCC([*])=O,6.2709
152,[*]CC([*])C(=O)OC(CC)CC,6.2722
153,[*]CCCCCNC(=O)C(CCCCCCCCCCCC)C(=O)N[*],6.2733
154,[*]CC([*])(F)C(=O)OCC(F)(F)C(F)(F)C(F)(F)F,6.2862
155,[*]CNCN[*],6.3053
156,[*]CCC(C(=O)OC)C([*])C(=O)OC,6.3252
157,[*]CC([*])(C)C(=O)OCC(F)(F)F,6.3398
158,[*]CCCOC(=O)CCCCCCCCCCC(=O)O[*],6.3683
159,[*]CC([*])C(N)=O,6.3764
160,[*]CCCCCCNC(=O)CCCCCCCCCCC(=O)N[*],6.3994
161,[*]NC1CCCC1C([*])=O,6.4002
162,[*]OC(C)COC(=O)CCCCS(=O)(=O)CCCCC([*])=O,6.4017
163,[*]C(=O)OCCCCOC(=O)N1CCN([*])CC1,6.4265
164,[*]CC(F)(F)C(F)(F)C(F)(F)COC(=O)NCC(F)(F)C(F)(F)C(F)(F)C(F)(F)CNC(=O)O[*],6.4326
165,[*]C(=O)OCC(C)(C)COC(=O)N1CCN([*])CC1,6.4401
166,[*]CCOC(=O)C1CCC(C(=O)O[*])CC1,6.4481
167,[*]CC(C#N)(C#N)CC(C#N)(C#N)CC(C#N)(C#N)C(C#N)C(C#N)(C#N)[*],6.4504
168,[*]CCC(Cl)C([*])Cl,6.4523
169,[*]CC([*])C(=O)OC(C)C,6.455
170,[*]CC([*])C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,6.4578
171,[*]CCCCCOC(=O)CC(=O)O[*],6.4679
172,[*]CC([*])OC(=O)CC1CCCC1,6.4741
173,[*]CCCCCC(=O)N[*],6.4774
174,[*]CCCOC(=O)CCCCCCC(=O)O[*],6.4907
175,[*]CC1CCC(COC(=O)C2CCC(C(=O)O[*])CC2)CC1,6.4924
176,[*]CC(C#N)(C#N)CC(C#N)(C#N)C(C#N)C(C#N)(C#N)[*],6.5308
177,[*]OC(=O)OCCOCCOC(=O)OC1COC2C([*])COC12,6.5378
178,[*]C1CCC1[*],6.5419
179,[*]CC([*])C(=O)NCCC,6.5449
180,[*]CCCCOC(=O)C1CCC(C(=O)O[*])CC1,6.5835
181,[*]CC(C)(C)COC(=O)CCCCC(=O)O[*],6.5878
182,[*]CC(C)C(=O)O[*],6.5897
183,[*]CC(C)(CC)C(=O)O[*],6.5912
184,[*]CCCCCCOC(=O)NCCCNC(=O)O[*],6.5954
185,[*]OC(C)COC(=O)CCCCC([*])=O,6.5974
186,[*]CC([*])(C)C(=O)OCCC1CCCCC1,6.5993
187,[*]CCC(=O)O[*],6.6114
188,[*]CCCCCCCCCCOC(=O)CCC(=O)O[*],6.6201
189,[*]CCOC(=O)NCCCCCCCCCCNC(=O)O[*],6.6421
190,[*]OC(=O)OC1COC2C([*])COC12,6.6786
191,[*]ON(C(F)(F)F)C(F)(Cl)C([*])(F)F,6.6835
192,[*]CCCCCCCCCCOC(=O)CCCCC(=O)O[*],6.718
193,[*]CC(C)(C)C(=O)O[*],6.7185
194,[*]CC([*])C(=O)OCC(F)(F)F,6.7224
195,[*]CCC(C)CC(=O)O[*],6.7489
196,[*]C1C2CC(C)C(C2)C1[*],6.7713
197,[*]CC([*])C(=O)OCC,6.7935
198,[*]CCCCCCC(Cl)C([*])Cl,6.7965
199,[*]CCCCCCCCCCCC(=O)O[*],6.8377
200,[*]CCCCCCCCC([*])Cl,6.86
201,[*]CC(C#N)(C#N)[*],6.9314
202,[*]OC1C(C)(C)C(OC([*])=O)C1(C)C,6.9495
203,[*]C(F)(F)C1(F)C(F)(F)C([*])(F)C(F)(F)C1(F)F,6.9544
204,[*]CC1CC1CO[*],6.9566
205,[*]OC([*])CCC#N,6.9611
206,[*]CC(C)O[*],6.9903
207,[*]OC1CCC(OC(=O)OCCCCCCOC([*])=O)CC1,7.0127
208,[*]CC([*])(F)C#N,7.0615
209,[*]ON(C(F)(F)F)C(F)(C([*])(F)F)C(F)(F)F,7.0955
210,[*]CO[*],7.1211
211,[*]CC([*])(C)C#N,7.1863
212,[*]OC([*])CCl,7.1982
213,[*]CC([*])CCC,7.2705
214,[*]CC1([*])CCCCC1,7.3387
215,[*]CC(C)CO[*],7.3501
216,[*]CC([*])CO,7.4192
217,[*]CC([*])C#N,7.4435
218,[*]CCC(F)(F)C([*])(F)Cl,7.4828
219,[*]CCCC([*])C#N,7.4859
220,[*]CCC1CC([*])C2CCCC12,7.4997
221,[*]CCC1CC([*])C2C3CC(CC)C(C3)C12,7.528
222,[*]C(F)(F)C1(F)C(F)(F)C([*])(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,7.542999999999998
223,[*]CC([*])O,7.5488
224,[*]CC([*])CCCC1CCCCC1,7.5725
225,[*]C(F)C([*])(F)OC(F)(F)F,7.802
226,[*]C1(F)OC(C(F)(F)F)(C(F)(F)Cl)OC1([*])F,7.8208
227,[*]CC([*])OC(=O)OCC(F)(F)F,7.9003
228,[*]CC([*])CC,7.9012
229,[*]C(C)C([*])O,7.9156
230,[*]CC1CCC([*])C1,7.9703
231,[*]CCC1CCC([*])C1,7.9915
232,[*]C1OC(C(F)(F)F)(C(F)(F)F)OC1([*])F,8.0982
233,[*]OC(F)(F)C(F)(F)C(F)(F)C([*])(F)F,8.7307
234,C(F)(F)NC(F)(F)N,8.7968
235,[*]OC(F)(F)C(F)(F)C([*])(F)F,9.1214
236,[*]OC(F)(F)C([*])(F)F,10.1137
