SN,smiles,bandgap_chain
44,[*]c1ccc(C(=O)Nc2ccc(-c3ccc(NC(=O)c4ccc(-n5c(=O)c6sc7c(=O)n([*])c(=O)c7sc6c5=O)cc4)cc3)cc2)cc1,1.3147
45,[*]c1cc(OCCCCCCC)c([*])s1,1.3206
46,[*]C#CC(CO)=C([*])n1c2ccccc2c2ccccc21,1.3335
47,[*]c1sc([*])c2c1OCCO2,1.338
48,[*]CC(=S)C(=O)C(=S)[*],1.354
49,[*]C1=C(CCCCCC)C(CCCCCC)=C(c2sc(-c3sc([*])c4c3OCCO4)c3c2OCCO3)S1(=O)=O,1.3578
50,[*]C1=CC2=NC([*])=CC2=N1,1.3597
51,[*]C=CC1=C(O)C(O)=C([*])C1,1.3602
52,[*]c1ccc(-c2ccc(-c3sc([*])c4c3OCCO4)s2)s1,1.3711
53,[*]c1cc(OCCOCCOC)c([*])s1,1.3804
54,[*]c1cc2c(s1)-c1sc(-c3cc4c(s3)-c3sc([*])cc3C4(CC(CC)CCCC)CC(CC)CCCC)cc1C2=O,1.3805
55,[*]c1sc([*])c(OCCCC)c1OCCCC,1.381
56,[*]C=C([*])c1cccc(Cl)c1,1.3963
57,[*]c1cc(SCCCCCCCCCCCC)c([*])s1,1.4145
58,[*]c1cc(OCCOC)c([*])s1,1.4267
59,[*]c1cc(-c2cc(C)c(Br)cc2C)c([*])s1,1.4380000000000002
60,[*]C=Cc1ccc([*])n1C,1.4458
61,[*]c1sc(-c2cc(CCCCCCCCCC)c([*])s2)cc1CCCCCCCCCC,1.4512
62,[*]C(S1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3C(=S)[*],1.4704
63,[*]c1ccc(-c2cc(CCCCCCCCCCCC)c([*])s2)s1,1.4731
64,[*]C=C[*],1.4732
65,[*]C(c1ccccc1)=c1ccc(=c2ccc(=C(c3ccccc3)c3ccc(-c4ccc([*])s4)s3)s2)s1,1.4792
66,[*]c1ccc(-c2ccc(-c3ccc([*])s3)s2)o1,1.4999
67,[*]N=Cc1ccc(C=Nc2sc([*])c(C#N)c2C#N)cc1,1.5069
68,[*]c1cc(CCCCCCOC(=O)COC)c([*])s1,1.5263
69,[*]c1ccc(C(=O)Nc2ccc(NC(=O)c3ccc(-n4c(=O)c5sc6c(=O)n([*])c(=O)c6sc5c4=O)cc3)cc2)cc1,1.5265
70,[*]c1sc([*])c2c1OCC(CCCCCCCCCCCC)O2,1.5289
71,[*]c1cc(SC)c([*])s1,1.5295
72,C(S1)=CC=C1C(S2)=CC=C2,1.5303
73,[*]c1sc(-c2cc(SCC(C)CC)c([*])s2)cc1SCC(C)CC,1.5342
74,[*]C=Cc1ccc([*])n1CCCCCCCCCCCC,1.5362
75,[*]c1sc([*])c([2H])c1[2H],1.5424
76,[*]c1sc([*])c(OCCOCCCC)c1C,1.5443
77,[*]c1cc(SCCCCCC)c([*])s1,1.5446
78,[*]C#Cc1cc(CCCCCC)c([*])s1,1.5455
79,[*]c1ccc([*])s1,1.5514
80,[*]c1sc(-c2cc(CCCCCC)c([*])s2)cc1CCCCCC,1.5552
81,[*]C=C([*])c1cccc(Br)c1,1.5553
82,[*]c1sc([*])c(CCCCCCN(CC)c2ccccc2)c1CCCCCC,1.5590000000000002
83,[*]C#CC#Cc1cc2sc([*])cc2s1,1.561
84,[*]c1ccc(-c2cc(-c3ccc(CCCCCCCC)cc3)c([*])s2)s1,1.564
85,[*]c1cc(CCOC(=O)NCCCC)c([*])s1,1.5835
86,[*]c1cc(CC(=O)OCC)c([*])s1,1.589
87,[*]C=Cc1ccc([*])n1CCCCCC,1.5933
88,[*]c1ccc(-c2ccn3sc4nc5nc6c(cc5oc-4cc-3nc2)Nc2nc3ccc([*])cc3nc2O6)cc1,1.5944
89,[*]C#CC#Cc1ccc([*])s1,1.5989
90,[*]Oc1ccc2nc3oc4cc5oc6c7c(cn6ccc5on4cnc3c12)nc1c([*])ccccc17,1.6019
91,[*]C#CC#Cc1ccc(-c2ccc([*])s2)s1,1.6029
92,[*]C=CC(C)=C(C)C=Cc1ccc(-c2ccc([*])s2)s1,1.6111
93,[*]c1cc(COCCOCCOC)c(-c2cc(CCCCCCCCCCCC)c([*])s2)s1,1.6134
94,[*]c1cc(-c2cc(CCCCCCCC)ccc2CCCCCCCC)c([*])s1,1.6153
95,C(S1)=CC=C1C(=S)C(S2)=CC=C2C(=S)C(=O)NC(C=C3)=CC=C3C(S4)=CC=C4,1.618
96,[*]c1ccc(N(c2ccc(C#N)cc2)c2ccc(-n3c(=O)c4cc5c(=O)n([*])c(=O)c5cc4c3=O)cc2)cc1,1.6309
97,[*]c1ccc(-c2cc(CCCCCCCCCCC)c([*])s2)s1,1.6329
98,[*]C#Cc1ccc([*])s1,1.6401
99,[*]C=Cc1cc(OC)c(C=Cc2ccc([*])s2)cc1OC,1.6407
100,[*]c1cc(C)c([*])s1,1.644
101,[*]c1cc(C#N)c([*])s1,1.6457
102,[*]N=CC(C)=CC=CC=C(C)C=Nc1nc(-c2csc([*])n2)cs1,1.6482
103,[*]c1ccc(C(=O)Nc2ccc(Oc3ccc(NC(=O)c4ccc(-n5c(=O)c6cc7c(=O)n([*])c(=O)c7cc6c5=O)cc4)cc3)cc2)cc1,1.6551
104,[*]CC(=S)C(C=C1)=CC=C1C(=S)[*],1.6553
105,[*]c1cc2sc([*])cc2s1,1.6684
106,[*]CC([*])C(=O)c1ccccc1O,1.6926
107,[*]c1ccc(Nc2ccc(-n3c(=O)c4cc5c(=O)n([*])c(=O)c5cc4c3=O)cc2)cc1,1.6941
108,[*]c1cc2sc3cc([*])sc3c2s1,1.6985
109,[*]C=Cc1cc(CCCCCC)c(-c2sc([*])cc2CCCCCC)s1,1.7047
110,[*]C=Cc1ccc([*])c2occc12,1.7116
111,[*]c1sc([*])c2c1OCC(CCCCS(=O)(=O)O)O2,1.7125
112,[*]C#Cc1sc(-c2sc([*])c3c2OCCO3)c2c1OCCO2,1.714
113,[*]C1=C2OCCOC2=C(c2sc(-c3sc([*])c4c3OCCO4)c3c2OCCO3)S1(=O)=O,1.7225
114,[*]C#Cc1cc(CCCCCC)c(C#Cc2sc([*])c([N+](=O)[O-])c2[N+](=O)[O-])s1,1.7301
115,[*]c1ccc(-c2ccc(-c3ccc([*])s3)o2)o1,1.7382
116,[*]C#Cc1cc(OCCCCCCCCCCCC)c([*])cc1OCCCCCCCCCCCC,1.7402
117,[*]C1=CC=C(c2sc(-c3sc([*])c4c3OCCO4)c3c2OCCO3)S1(=O)=O,1.7641
118,[*]N=Nc1ccc([*])cc1,1.7681
119,[*]NC(S1)=CC=C1C(=S)C(S2)=CC=C2[*],1.771
120,[*]c1cc(CC(=O)OC)c([*])s1,1.7719999999999998
121,[*]C=Cc1ccc([*])c(OC)c1,1.7776
122,[*]c1ccc(-c2ccc(-c3cc(OCCCCCCCCCCCC)c([*])s3)s2)s1,1.7783
123,[*]c1ccc([*])o1,1.7785
124,[*]C#Cc1cc(OCCCCCCCCCC)c([*])cc1OCCCCCCCCCC,1.7935
125,[*]c1ccc(-c2cc(CCCCCCBr)c([*])s2)s1,1.8008
126,[*]c1cc(C(=O)OCCCCCCCC)c([*])s1,1.8008
127,[*]CC([*])n1ccc2ccccc21,1.8061
128,[*]c1cc(CCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c([*])s1,1.8122
129,[*]C1=C2OCCOC2=C(c2ccc(-c3ccc([*])s3)s2)S1(=O)=O,1.8236
130,[*]c1ccc(-c2cc(CCCCCCCCCF)c([*])s2)s1,1.8341
131,[*]c1nc(CCCCCC)c(-c2sc([*])nc2CCCCCC)s1,1.8419
132,C(C=C1)=CC=C1NC(S2)=CC=C2C(S3)=CC=C3C(=S)C(S4)=CC=C4C(S5)=CC=C5N,1.8513
133,[*]c1cnc([*])s1,1.8622
134,[*]N=C1c2ccccc2C(=Nc2ccc([*])cc2)c2ccccc21,1.8734
135,[*]c1cc(-c2sc(-c3cc(C)c([*])s3)cc2C)c2cccccc1-2,1.8844
136,[*]c1cc(CCOc2ccc(N=Nc3ccc(C#N)cc3)cc2)c([*])s1,1.8862
137,[*]c1ccc(-c2ccc(-c3ccc([*])n3C)o2)s1,1.8872
138,[*]C(=O)c1ccc2c(c1)C(=O)N(c1ccc(N(c3ccc(C#N)cc3)c3ccc(N4C(=O)c5ccc([*])cc5C4=O)cc3)cc1)C2=O,1.8892
139,[*]C=C([*])c1ccccc1C(F)(F)F,1.8895
140,[*]c1ccc(Oc2ccc(-n3c(=O)c4cc5c(=O)n(-c6ncc([*])s6)c(=O)c5cc4c3=O)cc2)cc1,1.8896
141,[*]N=Nc1ccc(C=Cc2ccc([*])cc2)cc1,1.8934
142,[*]C(=O)C(S1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3[*],1.9059
143,[*]NC(=O)C(=S)C(S1)=CC=C1[*],1.9091
144,[*]c1ccc(-c2ccc(-c3ccc([*])s3)s2)cc1,1.9121
145,[*]CC([*])OC(=O)c1ccccc1Cl,1.9134
146,[*]C=CC=CC=Cc1cc(CCCCCCC)c([*])cc1CCCCCCC,1.9218
147,[*]C=C([*])c1ccc2ccc3cccc4ccc1c2c34,1.9286
148,[*]c1ccc(Nc2cccc(-n3c(=O)c4cc5c(=O)n([*])c(=O)c5cc4c3=O)c2)cc1,1.9399
149,[*]CC([*])c1cccs1,1.9401
150,[*]c1ccc(Oc2ccc(-n3c(=O)c4c(Oc5ccc(OCCCC)cc5)c5c(=O)n([*])c(=O)c5c(Oc5ccc(OCCCC)cc5)c4c3=O)cc2)cc1,1.9436
151,NC(=S)C(=C1)SC(=C1)C(=S),1.9439
152,[*]C#Cc1ccc(C#Cc2sc([*])c([N+](=O)[O-])c2[N+](=O)[O-])cc1,1.9456
153,[*]Nc1cc([N+](=O)[O-])c(NC(=O)c2ccc(C([*])=O)cc2)cc1C=Cc1ccc(N(C)C)cc1,1.9467
154,[*]C=Cc1ccc([*])nc1,1.9477
155,[*]c1ccc(-c2cc(CCCCCCOC(=O)COc3ccccc3)c([*])s2)s1,1.9503
156,[*]c1cc(CCCCCCCCCCCC(=O)Oc2ccc([N+](=O)[O-])cc2)c([*])s1,1.9537
157,[*]C=Cc1cc(OC)c([*])cc1Br,1.9552
158,[*]c1ccc(-c2ccc(-n3c(=O)c4c(F)c5c(=O)n([*])c(=O)c5c(F)c4c3=O)cc2OC)c(OC)c1,1.9563
159,[*]c1ccc(Oc2ccc(Oc3ccc(-n4c(=O)c5cc6c(=O)n([*])c(=O)c6cc5c4=O)cc3)cc2C(C)(C)C)cc1,1.9571
160,[*]c1ccc(Oc2ccc(-n3c(=O)c4c(Oc5ccc(OC)cc5)c5c(=O)n([*])c(=O)c5c(Oc5ccc(OC)cc5)c4c3=O)cc2)cc1,1.9581
161,[*]CC(O)CN([*])c1ccc(N=Nc2ccc(C#N)cc2)cc1,1.9599
162,[*]N=Cc1ccc(-c2ccc(C=Nc3ccc4c(c3)c3cc([*])ccc3n4CC)s2)s1,1.9698
163,[*]C=Cc1ccc(C=Cc2nc3cc4sc([*])nc4cc3s2)cc1,1.971
164,[*]C(C=C1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3C(S4)=CC=C4[*],1.9732
165,[*]NC1=CC(=O)C([*])=CC1=O,1.9806
166,[*]C=Cc1ccc(C=Cc2nc3cc4nc([*])[nH]c4cc3[nH]2)cc1,1.9821
167,[*]CCCCCn1c(=O)c2ccc3c4ccc5c(=O)n([*])c(=O)c6ccc(c7ccc(c1=O)c2c37)c4c56,1.9843
168,[*]c1ccc(Oc2ccc(N3C(=O)c4ccc(C(=O)c5ccc6c(c5)C(=O)N(c5ncc([*])s5)C6=O)cc4C3=O)cc2)cc1,1.988
169,[*]CC(=O)C(=S)C(=O)[*],1.9894
170,[*]c1ccc(-c2ccc3nc4oc5cc6[nH]c7nc8cc([*])ccc8nc7nc-6[nH]c=5n-4ccc3c2)cc1,1.9943
171,[*]c1cc(-c2sc(-c3cc(CCCC)c([*])s3)cc2CCCC)c2cccccc1-2,1.9953
172,[*]c1ccc(Oc2cccc3c(Oc4ccc(-n5c(=O)c6cc7c(=O)n([*])c(=O)c7cc6c5=O)cc4)cccc23)cc1,2.0006
173,[*]CCCCCCCCn1c(=O)c2ccc3c4ccc5c(=O)n([*])c(=O)c6ccc(c7ccc(c1=O)c2c37)c4c56,2.0018
174,[*]c1cc(OCCOCCOC)c(-c2sc([*])c3c2OCCO3)s1,2.0039
175,[*]c1ccc(SSc2ccc(-n3c(=O)c4cc5c(=O)n([*])c(=O)c5cc4c3=O)cc2)cc1,2.0072
176,[*]Nc1ccc(Cc2ccc(NC(=O)c3cc(C([*])=O)cc(N4C(=O)C=CC4=O)c3)cc2)cc1,2.0132
177,C(F)(F)C(F)(F)C(=O)C(=S),2.017
178,[*]Nc1ccc(C=Cc2ccc(NC(=C(C#N)C#N)c3ccc(C([*])=C(C#N)C#N)cc3)cc2)cc1,2.0183
179,[*]c1cc(C=NC(=S)Nc2ccc(-n3c(=O)c4cc5c(=O)n([*])c(=O)c5cc4c3=O)cc2)ccc1Cl,2.0258
180,[*]C(C=C1)=CC=C1C(=S)C(S2)=CC=C2C(=S)[*],2.0305
181,[*]c1ccc([*])n1CCC(=O)OC(C)C(=O)OCC,2.0323
182,[*]c1cc(CC)c([*])s1,2.0436
183,[*]Nc1cc([N+](=O)[O-])c(NC(=O)c2c(F)cc(C([*])=O)cc2F)cc1C=Cc1ccc(N(C)C)cc1,2.0452
184,[*]C#Cc1cc(OCCCCCCCCCCCC)c(C#Cc2ccc([*])c([N+](=O)[O-])c2)cc1OCCCCCCCCCCCC,2.0462
185,[*]c1ccc(-c2ccc(-c3ccc([*])s3)s2)[nH]1,2.0469
186,[*]C(C=C1)=CC=C1C(S2)=CC=C2C(=S)C(S3)=CC=C3[*],2.0488
187,[*]C(=O)C(S1)=CC=C1C(S2)=CC=C2C(=S)[*],2.0567
188,[*]N=NNc1ccc(NN=Nc2ccc([*])cc2)cc1,2.0596
189,[*]c1ccc(-c2ccc(-c3cc([*])c4cccccc3-4)s2)s1,2.0596
190,[*]c1ccc(N(c2ccc(C#N)cc2)c2ccc(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)N([*])C6=O)cc4C3=O)cc2)cc1,2.0603
191,[*]C=Nc1ccc(N=Cc2ccc(-c3ccc([*])o3)o2)cc1,2.0682
192,[*]C(=O)c1ccc2c(c1)C(=O)N(c1ccc(C=Cc3ccc(N4C(=O)c5ccc([*])cc5C4=O)cc3)cc1)C2=O,2.0708
193,[*]c1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccc([*])n5CCCCCCCCCCCC)s4)s3)s2)s1,2.0759
194,[*]c1ccc(Oc2ccc(-n3c(=O)c4c(F)c5c(=O)n([*])c(=O)c5c(F)c4c3=O)cc2)cc1,2.0806
195,[*]C(C=C1)=CC=C1C(=S)C(S2)=CC=C2C(S3)=CC=C3[*],2.0836
196,[*]c1cc2c(s1)-c1sc([*])cc1C2CCCCCCN,2.0844
197,[*]c1ccc(-c2ccc(-c3ccc(-c4ccc([*])n4CCCCCCCCCCCC)s3)s2)s1,2.0944
198,[*]c1cc(CCOC(=O)C(C)Br)c([*])s1,2.0981
199,[*]c1ccc(-n2c(=O)c3cc4c(=O)n(-n5c6ccc([*])cc6c6cccnc65)c(=O)c4cc3c2=O)cc1,2.0994
200,[*]C#CC#Cc1ccc([*])cc1,2.103
201,[*]C=Cc1ccc([*])c2sccc12,2.1063
202,[*]c1ccc(Oc2ccc3ccc(Oc4ccc(-n5c(=O)c6cc7c(=O)n([*])c(=O)c7cc6c5=O)cc4)cc3c2)cc1,2.1084
203,C(S1)=CC=C1C(S2)=CC=C2C(=S)C(S3)=CC=C3C(=O)NC(=O)N,2.1092
204,[*]CC([*])OC(=O)c1ccc(Cl)cc1,2.1125
205,[*]c1sc([*])c(OCCCC)c1C,2.1145
206,[*]c1cc(-c2nc3ccccc3[nH]2)cc(-n2c(=O)c3cc4c(=O)n([*])c(=O)c4cc3c2=O)c1,2.1187
207,[*]C=Cc1ccc([*])c(F)c1,2.119
208,[*]C(=O)c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(-c4ccc(Oc5ccc(N6C(=O)c7ccc([*])cc7C6=O)cc5)cc4)cc3)cc1)C2=O,2.13
209,[*]c1ccc(C(=O)CNc2cccc(NCC(=O)c3ccc(S([*])(=O)=O)cc3)c2)cc1,2.133
210,[*]c1ccc(Oc2ccc(C(C)(C)c3ccc(Oc4ccc(-n5c(=O)c6cc7c(=O)n([*])c(=O)c7cc6c5=O)cc4)cc3)cc2)cc1,2.1376
211,[*]CC([*])c1ccc(F)cc1,2.1384
212,[*]C=Cc1ccc(-c2ccc([*])s2)s1,2.1384
213,[*]c1ccc(-c2ccc(-c3ccc(-n4c(=O)c5cc6c(=O)n([*])c(=O)c6cc5c4=O)cc3)cc2)cc1,2.1393
214,[*]c1ccc2c(c1)nc1c3cc4c(=O)n5c6cc([*])ccc6nc5c4cc3c(=O)n21,2.1402
215,[*]c1ccc2c(c1)Cc1cc(-n3c(=O)c4cc5c(=O)n([*])c(=O)c5cc4c3=O)ccc1-2,2.1465
216,[*]CC([*])c1cc(O)ccc1O,2.1475
217,[*]C=CC=Cc1nc2cc3sc([*])nc3cc2s1,2.1517
218,[*]SC([*])=S,2.1529
219,[*]N=Nc1ccc(-c2ccc([*])c(C)c2)cc1C,2.1576
220,[*]CC([*])c1ccccc1C(=O)Oc1ccccc1,2.1638
221,[*]N=C1c2ccccc2C(=Nc2ccc([*])cc2)c2ccc(C(C)(C)C)cc21,2.1672
222,[*]c1ccc(Oc2cc3ccccc3cc2Oc2ccc(-n3c(=O)c4cc5c(=O)n([*])c(=O)c5cc4c3=O)cc2)cc1,2.1718
223,[*]Sc1c(F)c(F)c([*])c(F)c1F,2.1722
224,[*]Nc1ccc(-c2ccc(NC3=CC(=O)C([*])=CC3=O)cc2)cc1,2.1743
225,[*]NC(S1)=CC=C1C(S2)=CC=C2C(=S)[*],2.1763
226,[*]C(=O)c1ccc2c(c1)C(=O)N(c1ccc(Sc3ccc(N4C(=O)c5ccc([*])cc5C4=O)cn3)nc1)C2=O,2.1786
227,[*]c1ccc([*])n1C(=O)OCC,2.1791
228,[*]CC(=O)Nc1ccc(Oc2cccc(NC(=O)CN3C(=O)c4ccc(C(=O)c5ccc6c(c5)C(=O)N([*])C6=O)cc4C3=O)c2)cc1,2.1817
229,[*]C(=O)C(S1)=CC=C1C(=S)C(S2)=CC=C2[*],2.182
230,[*]c1c2ccccc2c([*])n1C,2.1822
231,[*]C#Cc1cc(OCCOCCOC)c(C#Cc2ccc([*])c([N+](=O)[O-])c2)cc1OCCOCCOC,2.1853
232,[*]N=c1c(=Nc2ccc([*])cc2)c2cccc3cccc1c32,2.1865
233,[*]c1ccc(-c2nc3cc(-n4c(=O)c5cc6c(=O)n([*])c(=O)c6cc5c4=O)ccc3[nH]2)cc1,2.1869
234,[*]NC(S1)=CC=C1C(=O)C(=S)[*],2.196
235,[*]c1ccc(-c2ccc(-c3ccc([*])s3)s2)cn1,2.2046
236,[*]c1ccc(Oc2ccc(-n3c(=O)c4cc5c(=O)n([*])c(=O)c5cc4c3=O)cc2-c2ccccc2)cc1,2.2077
237,[*]CC(=S)C(S1)=CC=C1C(=S)[*],2.2116
238,[*]c1cc(CCCc2ccccc2)c([*])s1,2.2134
239,[*]c1nc2cc3nc(-c4ccc([*])o4)[nH]c3cc2[nH]1,2.2148
240,[*]c1ccc(-c2ccc(-n3c(=O)c4cc5c(=O)n([*])c(=O)c5cc4c3=O)cc2)cc1,2.2166
241,[*]CC(=O)Nc1ccc(Cc2ccc(NC(=O)CN3C(=O)c4ccc(C(=O)c5ccc6c(c5)C(=O)N([*])C6=O)cc4C3=O)cc2)cc1,2.2184
242,[*]C(C=C1)=CC=C1C(C=C2)=CC=C2C(S3)=CC=C3C(S4)=CC=C4[*],2.2233
243,[*]c1cc(-n2c(=O)c3cc4c(=O)n(-c5ccc(-c6nnc([*])n6N)cc5)c(=O)c4cc3c2=O)c(-c2c(Cl)cccc2Cl)s1,2.2264
244,[*]NC(S1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3[*],2.2308
245,[*]NC(=O)C(=S)C(=O)[*],2.2323
246,[*]CC([*])c1ccc(Br)cc1,2.235
247,[*]NC(S1)=CC=C1C(S2)=CC=C2C(=O)[*],2.2351
248,[*]c1ccc(Oc2ccc(Oc3ccc(-n4c(=O)c5cc6c(=O)n([*])c(=O)c6cc5c4=O)cc3)cc2)cc1,2.2398
249,[*]NC(S1)=CC=C1C(=O)C(S2)=CC=C2[*],2.2404
250,[*]C(C)=C(C)c1ccc(-c2ccc([*])s2)s1,2.2477
251,[*]c1ccc(-c2ccc(-c3ccc([*])n3C)o2)o1,2.2511
252,[*]C(=O)C(S1)=CC=C1C(=O)C(=S)[*],2.2532
253,[*]c1ccc(-c2ccc(-n3c(=O)c4cc5c(=O)n([*])c(=O)c5cc4c3=O)cc2OC)c(OC)c1,2.2535
254,[*]Oc1ccc(NC2=C(Cl)C(=O)C(Nc3ccc([*])cc3)=C(Cl)C2=O)cc1,2.2616
255,[*]c1cc(CCCCCCCCCCBr)c([*])s1,2.2633
256,[*]c1[nH]c([*])c2c1CCC2,2.2689
257,[*]c1ccc(Oc2ccccc2Oc2ccc(-n3c(=O)c4cc5c(=O)n([*])c(=O)c5cc4c3=O)cc2)cc1,2.2739
258,[*]Oc1ccc(N=C2c3ccccc3C(=Nc3ccc([*])cc3)c3ccccc32)cc1,2.2831
259,[*]C(=O)Oc1ccc(OC(=O)c2ccc3c(c2)C(=O)N(c2ccc(Oc4ccc(Oc5ccc(N6C(=O)c7ccc([*])cc7C6=O)cc5)cc4)cc2)C3=O)cc1,2.2849
260,[*]C1=CSC(=C2SC=C(c3ccc([*])cc3)S2)S1,2.2854
261,[*]Nc1ccc([*])c2cc3ccccc3cc12,2.2861
262,[*]c1ccc(-c2ccc(-c3nc(CCCCCCCCCCCC)c(-c4sc([*])nc4CCCCCCCCCCCC)s3)s2)s1,2.29
263,[*]c1cc(CCCCCCCCCC(O)CO)c([*])s1,2.2905
264,[*]c1ccc(N(c2ccc(C#N)cc2)c2ccc(N3C(=O)c4ccc(Oc5ccc6c(c5)C(=O)N([*])C6=O)cc4C3=O)cc2)cc1,2.2952
265,[*]c1cc(COCCCCCCCCOc2ccc(-c3ccc(OC)cc3)cc2)c([*])s1,2.2969
266,[*]C#Cc1sc(C#Cc2ccc([*])nc2)c([N+](=O)[O-])c1[N+](=O)[O-],2.3098
267,[*]CCN1C(=O)C(=CC=C2SC(=S)N([*])C2=O)SC1=S,2.3105
268,[*]c1ccc2ccc3c([*])cc(C#CC#C[Si](C)(C)C)c4ccc1c2c34,2.3122
269,[*]c1cc(CCS(=O)(=O)O)c([*])s1,2.3139
270,[*]C#Cc1cc(OCCCCCCCC)c(C#Cc2ccc([*])s2)cc1OCCCCCCCC,2.3184
271,[*]c1cc(CCCCCCCCCCCCCCCCCCCCCC)c([*])s1,2.319
272,C(=O)C(=S)C(=O)O,2.3194
273,[*]c1cc(CCCCCCCCCCCC)c([*])s1,2.3195
274,[*]C(=O)Nc1ccc(Nc2ccc(N3C(=O)c4ccc([*])cc4C3=O)cc2)cc1,2.3212
275,[*]c1cc(CCCC)c([*])s1,2.3242
276,[*]NC(C=C1)=CC=C1C(=S)C(C=C2)=CC=C2[*],2.3252
277,[*]C(=O)c1ccc2c(c1)C(=O)N(c1ccc(Oc3cc(C(C)(C)C)c(Oc4ccc(N5C(=O)c6ccc([*])cc6C5=O)cc4)cc3C(C)(C)C)cc1)C2=O,2.3313
278,[*]NC(S1)=CC=C1C(=S)C(C=C2)=CC=C2[*],2.3315
279,[*]C(=O)c1ccc2c(c1)C(=O)N(c1cccc(C(=O)N(C)c3ccc(N4C(=O)c5ccc([*])cc5C4=O)cc3)c1)C2=O,2.3323
